==================================================
BRANPY MODEL — TREINO DO ZERO
Tamanho: small | Epochs: 20 | LR: 0.0003
Max len: 256 | Vocab: 8000
==================================================

[1/6] Gerando corpus proprio...
  444 linhas geradas

[2/6] Treinando tokenizer BPE proprio...
[Tokenizer] Treinando BPE com vocab_size=8000
[Tokenizer] Corpus: 444 textos
[Tokenizer] Vocab final: 607 tokens
[Tokenizer] Salvo em weights/bran9bpy_scratch\tokenizer.json
  Vocab final: 607 tokens

[3/6] Criando modelo transformer do zero...
[Model] BranPy-5.0M — 6 layers, 256d, 8h
  Parametros: 5,025,536 (5.03M)

[4/6] Preparando dataset...
  444 exemplos, 111 batches

[5/6] Treinando...
  Step 540/2220 (24.3%) | Loss: 1.6451 | Tempo: 1.1s | ETA: 33min
  Step 550/2220 (24.8%) | Loss: 1.3386 | Tempo: 1.4s | ETA: 33min

  Epoch 5/20 | Loss media: 1.4036 | Melhor: 0.7093 | Tempo: 10.9min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch5.pt
  Step 560/2220 (25.2%) | Loss: 1.1104 | Tempo: 1.1s | ETA: 33min
  Step 570/2220 (25.7%) | Loss: 1.3408 | Tempo: 1.2s | ETA: 33min
  Step 580/2220 (26.1%) | Loss: 1.1296 | Tempo: 1.3s | ETA: 32min
  Step 590/2220 (26.6%) | Loss: 0.9792 | Tempo: 1.1s | ETA: 32min
  Step 600/2220 (27.0%) | Loss: 1.0462 | Tempo: 1.2s | ETA: 32min
  Step 610/2220 (27.5%) | Loss: 1.3228 | Tempo: 1.1s | ETA: 32min
  Step 620/2220 (27.9%) | Loss: 1.1308 | Tempo: 1.2s | ETA: 32min
  Step 630/2220 (28.4%) | Loss: 1.3298 | Tempo: 1.2s | ETA: 31min
  Step 640/2220 (28.8%) | Loss: 1.1675 | Tempo: 1.1s | ETA: 31min
  Step 650/2220 (29.3%) | Loss: 1.2263 | Tempo: 1.1s | ETA: 31min
  Step 660/2220 (29.7%) | Loss: 0.8503 | Tempo: 1.2s | ETA: 31min

  Epoch 6/20 | Loss media: 1.2189 | Melhor: 0.7093 | Tempo: 13.1min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch6.pt
