============================================================
BRANPY AI — TREINO V2 (BPE Tokenizer)
============================================================
Tokenizador carregado: 16000 tokens
Pares Q/A únicos: 25645
Treino: 23080 | Validação: 2565
Dataset: 23080 exemplos, max_len=256
Batches por época: 2885
Modelo: 16.9M parâmetros, vocab=16000, d=384, layers=6, heads=6

Treinando 30 épocas...
============================================================
[3/30] 2500/2885 | Loss: 0.9198 | ETA: 206.0min
[3/30] 2600/2885 | Loss: 1.9995 | ETA: 147.0min
[3/30] 2700/2885 | Loss: 1.0058 | ETA: 193.9min
[3/30] 2800/2885 | Loss: 1.0266 | ETA: 85.5min

Época 3 | Loss: 1.9529 | Tempo: 2854.6min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : N M M N M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M M 
  Best Loss: 1.9529

[4/30] 0/2885 | Loss: 1.3083 | ETA: 0.0min
[4/30] 100/2885 | Loss: 3.3974 | ETA: 124.6min
[4/30] 200/2885 | Loss: 3.1249 | ETA: 120.9min
[4/30] 300/2885 | Loss: 1.0949 | ETA: 117.4min
[4/30] 400/2885 | Loss: 4.0939 | ETA: 112.2min
[4/30] 500/2885 | Loss: 0.9528 | ETA: 107.5min
[4/30] 600/2885 | Loss: 0.9971 | ETA: 5003.9min
[4/30] 700/2885 | Loss: 2.2902 | ETA: 4119.2min
[4/30] 800/2885 | Loss: 2.5806 | ETA: 3453.5min
[4/30] 900/2885 | Loss: 1.0077 | ETA: 2932.7min
[4/30] 1000/2885 | Loss: 1.3700 | ETA: 2515.1min
[4/30] 1100/2885 | Loss: 3.0561 | ETA: 2172.4min
[4/30] 1200/2885 | Loss: 1.0191 | ETA: 1886.1min
[4/30] 1300/2885 | Loss: 0.8449 | ETA: 1643.2min
[4/30] 1400/2885 | Loss: 1.0537 | ETA: 1434.3min
[4/30] 1500/2885 | Loss: 1.3179 | ETA: 1252.7min
[4/30] 1600/2885 | Loss: 2.5911 | ETA: 1093.2min
[4/30] 1700/2885 | Loss: 0.9298 | ETA: 951.8min
[4/30] 1800/2885 | Loss: 0.9152 | ETA: 825.7min
[4/30] 1900/2885 | Loss: 3.0521 | ETA: 712.5min
[4/30] 2000/2885 | Loss: 1.0456 | ETA: 610.2min
[4/30] 2100/2885 | Loss: 1.0358 | ETA: 517.1min
[4/30] 2200/2885 | Loss: 1.8822 | ETA: 432.1min
[4/30] 2300/2885 | Loss: 1.4502 | ETA: 354.0min
[4/30] 2400/2885 | Loss: 0.8509 | ETA: 282.1min
[4/30] 2500/2885 | Loss: 0.9728 | ETA: 215.5min
[4/30] 2600/2885 | Loss: 1.4697 | ETA: 153.8min
[4/30] 2700/2885 | Loss: 1.6631 | ETA: 96.2min
[4/30] 2800/2885 | Loss: 0.8733 | ETA: 42.5min

Época 4 | Loss: 1.7964 | Tempo: 1420.8min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : M molha M economiza economiza sustentáveis sustentáveis sustentáveis sustentávei
  Best Loss: 1.7964

[5/30] 0/2885 | Loss: 0.8691 | ETA: 0.0min
[5/30] 100/2885 | Loss: 1.2164 | ETA: 123.6min
[5/30] 200/2885 | Loss: 0.9664 | ETA: 118.7min
[5/30] 300/2885 | Loss: 0.8067 | ETA: 242.2min
[5/30] 400/2885 | Loss: 1.0108 | ETA: 202.9min
[5/30] 500/2885 | Loss: 0.9139 | ETA: 177.1min
[5/30] 600/2885 | Loss: 3.0900 | ETA: 158.6min
[5/30] 700/2885 | Loss: 0.8521 | ETA: 144.1min
[5/30] 800/2885 | Loss: 2.8784 | ETA: 132.1min
[5/30] 900/2885 | Loss: 0.9804 | ETA: 121.7min
[5/30] 1000/2885 | Loss: 1.6611 | ETA: 112.4min
[5/30] 1100/2885 | Loss: 1.2393 | ETA: 104.0min
[5/30] 1200/2885 | Loss: 2.3350 | ETA: 96.4min
[5/30] 1300/2885 | Loss: 2.1572 | ETA: 89.1min
[5/30] 1400/2885 | Loss: 0.9464 | ETA: 82.2min
[5/30] 1500/2885 | Loss: 1.1456 | ETA: 75.7min
[5/30] 1600/2885 | Loss: 1.0054 | ETA: 69.4min
[5/30] 1700/2885 | Loss: 1.2836 | ETA: 63.4min
[5/30] 1800/2885 | Loss: 2.3240 | ETA: 57.5min
[5/30] 1900/2885 | Loss: 0.9010 | ETA: 51.8min
[5/30] 2000/2885 | Loss: 0.9295 | ETA: 46.2min
[5/30] 2100/2885 | Loss: 0.8847 | ETA: 40.6min
[5/30] 2200/2885 | Loss: 2.3347 | ETA: 35.2min
[5/30] 2300/2885 | Loss: 2.4596 | ETA: 29.9min
[5/30] 2400/2885 | Loss: 0.9993 | ETA: 24.6min
[5/30] 2500/2885 | Loss: 1.3110 | ETA: 103.9min
[5/30] 2600/2885 | Loss: 0.9182 | ETA: 74.4min
[5/30] 2700/2885 | Loss: 2.2752 | ETA: 46.7min
[5/30] 2800/2885 | Loss: 2.6132 | ETA: 20.7min

Época 5 | Loss: 1.6853 | Tempo: 694.2min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : P M eletrôn eletrôn eletrôn eletrôn eletrôn eletrôn eletrôn eletrôn eletrôn elet
  Best Loss: 1.6853

[6/30] 0/2885 | Loss: 3.2433 | ETA: 0.0min
